Enrollment
10/12/2024

Year,Level,Division,Grade,Count
"2023 - 2024",DIV,"Culpeper County Public Schools",03,591
"2023 - 2024",DIV,"Culpeper County Public Schools",04,672
"2023 - 2024",DIV,"Culpeper County Public Schools",05,607
"2023 - 2024",DIV,"Culpeper County Public Schools",06,627
"2023 - 2024",DIV,"Culpeper County Public Schools",07,593
"2023 - 2024",DIV,"Culpeper County Public Schools",08,625
"2023 - 2024",DIV,"Culpeper County Public Schools",09,723
"2023 - 2024",DIV,"Culpeper County Public Schools",10,743
"2023 - 2024",DIV,"Culpeper County Public Schools",11,677
"2023 - 2024",DIV,"Culpeper County Public Schools",12,631
"2023 - 2024",DIV,"Cumberland County Public Schools",,1233
"2023 - 2024",DIV,"Cumberland County Public Schools",PK,76
"2023 - 2024",DIV,"Cumberland County Public Schools",KG,69
"2023 - 2024",DIV,"Cumberland County Public Schools",01,99
"2023 - 2024",DIV,"Cumberland County Public Schools",02,90
"2023 - 2024",DIV,"Cumberland County Public Schools",03,82
"2023 - 2024",DIV,"Cumberland County Public Schools",04,100
"2023 - 2024",DIV,"Cumberland County Public Schools",05,97
"2023 - 2024",DIV,"Cumberland County Public Schools",06,87
"2023 - 2024",DIV,"Cumberland County Public Schools",07,91
"2023 - 2024",DIV,"Cumberland County Public Schools",08,83
"2023 - 2024",DIV,"Cumberland County Public Schools",09,92
"2023 - 2024",DIV,"Cumberland County Public Schools",10,99
"2023 - 2024",DIV,"Cumberland County Public Schools",11,94
"2023 - 2024",DIV,"Cumberland County Public Schools",12,74
"2023 - 2024",DIV,"Danville City Public Schools",,5580
"2023 - 2024",DIV,"Danville City Public Schools",PK,238
"2023 - 2024",DIV,"Danville City Public Schools",KG,443
"2023 - 2024",DIV,"Danville City Public Schools",01,403
"2023 - 2024",DIV,"Danville City Public Schools",02,392
"2023 - 2024",DIV,"Danville City Public Schools",03,440
"2023 - 2024",DIV,"Danville City Public Schools",04,440
"2023 - 2024",DIV,"Danville City Public Schools",05,402
"2023 - 2024",DIV,"Danville City Public Schools",06,394
"2023 - 2024",DIV,"Danville City Public Schools",07,399
"2023 - 2024",DIV,"Danville City Public Schools",08,391
"2023 - 2024",DIV,"Danville City Public Schools",09,546
"2023 - 2024",DIV,"Danville City Public Schools",10,416
"2023 - 2024",DIV,"Danville City Public Schools",11,361
"2023 - 2024",DIV,"Danville City Public Schools",12,315
"2023 - 2024",DIV,"Department of Juvenile Justice",,96
"2023 - 2024",DIV,"Department of Juvenile Justice",08,1
"2023 - 2024",DIV,"Department of Juvenile Justice",09,10
"2023 - 2024",DIV,"Department of Juvenile Justice",10,33
"2023 - 2024",DIV,"Department of Juvenile Justice",11,24
"2023 - 2024",DIV,"Department of Juvenile Justice",12,28
"2023 - 2024",DIV,"Dickenson County Public Schools",,1883
"2023 - 2024",DIV,"Dickenson County Public Schools",PK,80
"2023 - 2024",DIV,"Dickenson County Public Schools",KG,113
"2023 - 2024",DIV,"Dickenson County Public Schools",01,135
"2023 - 2024",DIV,"Dickenson County Public Schools",02,136
"2023 - 2024",DIV,"Dickenson County Public Schools",03,133
"2023 - 2024",DIV,"Dickenson County Public Schools",04,117
"2023 - 2024",DIV,"Dickenson County Public Schools",05,151
"2023 - 2024",DIV,"Dickenson County Public Schools",06,160
"2023 - 2024",DIV,"Dickenson County Public Schools",07,149
"2023 - 2024",DIV,"Dickenson County Public Schools",08,129
"2023 - 2024",DIV,"Dickenson County Public Schools",09,166
"2023 - 2024",DIV,"Dickenson County Public Schools",10,145
"2023 - 2024",DIV,"Dickenson County Public Schools",11,143
"2023 - 2024",DIV,"Dickenson County Public Schools",12,126
"2023 - 2024",DIV,"Dinwiddie County Public Schools",,4258
"2023 - 2024",DIV,"Dinwiddie County Public Schools",PK,120
"2023 - 2024",DIV,"Dinwiddie County Public Schools",KG,316
"2023 - 2024",DIV,"Dinwiddie County Public Schools",01,300
"2023 - 2024",DIV,"Dinwiddie County Public Schools",02,348
"2023 - 2024",DIV,"Dinwiddie County Public Schools",03,305
"2023 - 2024",DIV,"Dinwiddie County Public Schools",04,300
"2023 - 2024",DIV,"Dinwiddie County Public Schools",05,319
"2023 - 2024",DIV,"Dinwiddie County Public Schools",06,310
"2023 - 2024",DIV,"Dinwiddie County Public Schools",07,316
"2023 - 2024",DIV,"Dinwiddie County Public Schools",08,301
"2023 - 2024",DIV,"Dinwiddie County Public Schools",09,341
"2023 - 2024",DIV,"Dinwiddie County Public Schools",10,356
"2023 - 2024",DIV,"Dinwiddie County Public Schools",11,307
"2023 - 2024",DIV,"Dinwiddie County Public Schools",12,319
"2023 - 2024",DIV,"Essex County Public Schools",,1164
"2023 - 2024",DIV,"Essex County Public Schools",PG,1
"2023 - 2024",DIV,"Essex County Public Schools",PK,44
"2023 - 2024",DIV,"Essex County Public Schools",KG,69
"2023 - 2024",DIV,"Essex County Public Schools",01,72
"2023 - 2024",DIV,"Essex County Public Schools",02,70
"2023 - 2024",DIV,"Essex County Public Schools",03,87
"2023 - 2024",DIV,"Essex County Public Schools",04,80
"2023 - 2024",DIV,"Essex County Public Schools",05,81
"2023 - 2024",DIV,"Essex County Public Schools",06,76
"2023 - 2024",DIV,"Essex County Public Schools",07,75
"2023 - 2024",DIV,"Essex County Public Schools",08,99
"2023 - 2024",DIV,"Essex County Public Schools",09,109
"2023 - 2024",DIV,"Essex County Public Schools",10,109
"2023 - 2024",DIV,"Essex County Public Schools",11,97
"2023 - 2024",DIV,"Essex County Public Schools",12,95
"2023 - 2024",DIV,"Fairfax County Public Schools",,180982
"2023 - 2024",DIV,"Fairfax County Public Schools",PG,12
"2023 - 2024",DIV,"Fairfax County Public Schools",PK,4854
"2023 - 2024",DIV,"Fairfax County Public Schools",KG,11712
"2023 - 2024",DIV,"Fairfax County Public Schools",01,12342
"2023 - 2024",DIV,"Fairfax County Public Schools",02,13229
"2023 - 2024",DIV,"Fairfax County Public Schools",03,12508
"2023 - 2024",DIV,"Fairfax County Public Schools",04,13124
"2023 - 2024",DIV,"Fairfax County Public Schools",05,13190
"2023 - 2024",DIV,"Fairfax County Public Schools",06,13040
"2023 - 2024",DIV,"Fairfax County Public Schools",07,13530
"2023 - 2024",DIV,"Fairfax County Public Schools",08,13245
"2023 - 2024",DIV,"Fairfax County Public Schools",09,14725
"2023 - 2024",DIV,"Fairfax County Public Schools",10,15263
"2023 - 2024",DIV,"Fairfax County Public Schools",11,15267
"2023 - 2024",DIV,"Fairfax County Public Schools",12,14941
"2023 - 2024",DIV,"Falls Church City Public Schools",,2616
"2023 - 2024",DIV,"Falls Church City Public Schools",PK,76
"2023 - 2024",DIV,"Falls Church City Public Schools",KG,156
"2023 - 2024",DIV,"Falls Church City Public Schools",01,143
"2023 - 2024",DIV,"Falls Church City Public Schools",02,181
"2023 - 2024",DIV,"Falls Church City Public Schools",03,175
"2023 - 2024",DIV,"Falls Church City Public Schools",04,198
"2023 - 2024",DIV,"Falls Church City Public Schools",05,183
"2023 - 2024",DIV,"Falls Church City Public Schools",06,199
"2023 - 2024",DIV,"Falls Church City Public Schools",07,218
"2023 - 2024",DIV,"Falls Church City Public Schools",08,196
"2023 - 2024",DIV,"Falls Church City Public Schools",09,209
"2023 - 2024",DIV,"Falls Church City Public Schools",10,241
"2023 - 2024",DIV,"Falls Church City Public Schools",11,227
"2023 - 2024",DIV,"Falls Church City Public Schools",12,214
"2023 - 2024",DIV,"Fauquier County Public Schools",,10845
"2023 - 2024",DIV,"Fauquier County Public Schools",PK,179
"2023 - 2024",DIV,"Fauquier County Public Schools",KG,698
"2023 - 2024",DIV,"Fauquier County Public Schools",01,692
"2023 - 2024",DIV,"Fauquier County Public Schools",02,795
"2023 - 2024",DIV,"Fauquier County Public Schools",03,769
"2023 - 2024",DIV,"Fauquier County Public Schools",04,783
"2023 - 2024",DIV,"Fauquier County Public Schools",05,763
"2023 - 2024",DIV,"Fauquier County Public Schools",06,832
"2023 - 2024",DIV,"Fauquier County Public Schools",07,818
"2023 - 2024",DIV,"Fauquier County Public Schools",08,805
"2023 - 2024",DIV,"Fauquier County Public Schools",09,906
"2023 - 2024",DIV,"Fauquier County Public Schools",10,966
"2023 - 2024",DIV,"Fauquier County Public Schools",11,859
"2023 - 2024",DIV,"Fauquier County Public Schools",12,980
"2023 - 2024",DIV,"Floyd County Public Schools",,1713
"2023 - 2024",DIV,"Floyd County Public Schools",PK,62
"2023 - 2024",DIV,"Floyd County Public Schools",KG,116
"2023 - 2024",DIV,"Floyd County Public Schools",01,117
"2023 - 2024",DIV,"Floyd County Public Schools",02,116
"2023 - 2024",DIV,"Floyd County Public Schools",03,113
"2023 - 2024",DIV,"Floyd County Public Schools",04,119
"2023 - 2024",DIV,"Floyd County Public Schools",05,126
"2023 - 2024",DIV,"Floyd County Public Schools",06,128
"2023 - 2024",DIV,"Floyd County Public Schools",07,136
"2023 - 2024",DIV,"Floyd County Public Schools",08,139
"2023 - 2024",DIV,"Floyd County Public Schools",09,111
"2023 - 2024",DIV,"Floyd County Public Schools",10,148
"2023 - 2024",DIV,"Floyd County Public Schools",11,141
"2023 - 2024",DIV,"Floyd County Public Schools",12,141
"2023 - 2024",DIV,"Fluvanna County Public Schools",,3372
"2023 - 2024",DIV,"Fluvanna County Public Schools",PK,58
"2023 - 2024",DIV,"Fluvanna County Public Schools",KG,241
"2023 - 2024",DIV,"Fluvanna County Public Schools",01,226
"2023 - 2024",DIV,"Fluvanna County Public Schools",02,219
"2023 - 2024",DIV,"Fluvanna County Public Schools",03,222
"2023 - 2024",DIV,"Fluvanna County Public Schools",04,238
"2023 - 2024",DIV,"Fluvanna County Public Schools",05,238
"2023 - 2024",DIV,"Fluvanna County Public Schools",06,253
"2023 - 2024",DIV,"Fluvanna County Public Schools",07,246
"2023 - 2024",DIV,"Fluvanna County Public Schools",08,251
"2023 - 2024",DIV,"Fluvanna County Public Schools",09,319
"2023 - 2024",DIV,"Fluvanna County Public Schools",10,312
"2023 - 2024",DIV,"Fluvanna County Public Schools",11,271
"2023 - 2024",DIV,"Fluvanna County Public Schools",12,278
"2023 - 2024",DIV,"Franklin City Public Schools",,1015
"2023 - 2024",DIV,"Franklin City Public Schools",PK,65
"2023 - 2024",DIV,"Franklin City Public Schools",KG,76
"2023 - 2024",DIV,"Franklin City Public Schools",01,75
"2023 - 2024",DIV,"Franklin City Public Schools",02,76
"2023 - 2024",DIV,"Franklin City Public Schools",03,60
"2023 - 2024",DIV,"Franklin City Public Schools",04,68
"2023 - 2024",DIV,"Franklin City Public Schools",05,65
"2023 - 2024",DIV,"Franklin City Public Schools",06,67
"2023 - 2024",DIV,"Franklin City Public Schools",07,88
"2023 - 2024",DIV,"Franklin City Public Schools",08,76
"2023 - 2024",DIV,"Franklin City Public Schools",09,84
"2023 - 2024",DIV,"Franklin City Public Schools",10,80
"2023 - 2024",DIV,"Franklin City Public Schools",11,58
"2023 - 2024",DIV,"Franklin City Public Schools",12,77
"2023 - 2024",DIV,"Franklin County Public Schools",,6160
"2023 - 2024",DIV,"Franklin County Public Schools",PK,238
"2023 - 2024",DIV,"Franklin County Public Schools",KG,402
"2023 - 2024",DIV,"Franklin County Public Schools",01,437
"2023 - 2024",DIV,"Franklin County Public Schools",02,457
"2023 - 2024",DIV,"Franklin County Public Schools",03,441
"2023 - 2024",DIV,"Franklin County Public Schools",04,442
"2023 - 2024",DIV,"Franklin County Public Schools",05,453
"2023 - 2024",DIV,"Franklin County Public Schools",06,477
"2023 - 2024",DIV,"Franklin County Public Schools",07,429
"2023 - 2024",DIV,"Franklin County Public Schools",08,485
"2023 - 2024",DIV,"Franklin County Public Schools",09,557
"2023 - 2024",DIV,"Franklin County Public Schools",10,503
"2023 - 2024",DIV,"Franklin County Public Schools",11,413
"2023 - 2024",DIV,"Franklin County Public Schools",12,426
"2023 - 2024",DIV,"Frederick County Public Schools",,14173
"2023 - 2024",DIV,"Frederick County Public Schools",PK,138
"2023 - 2024",DIV,"Frederick County Public Schools",KG,984
"2023 - 2024",DIV,"Frederick County Public Schools",01,957
"2023 - 2024",DIV,"Frederick County Public Schools",02,1111
"2023 - 2024",DIV,"Frederick County Public Schools",03,1001
"2023 - 2024",DIV,"Frederick County Public Schools",04,1032
"2023 - 2024",DIV,"Frederick County Public Schools",05,1080
"2023 - 2024",DIV,"Frederick County Public Schools",06,1069
"2023 - 2024",DIV,"Frederick County Public Schools",07,1046
"2023 - 2024",DIV,"Frederick County Public Schools",08,1076
"2023 - 2024",DIV,"Frederick County Public Schools",09,1226
"2023 - 2024",DIV,"Frederick County Public Schools",10,1221
"2023 - 2024",DIV,"Frederick County Public Schools",11,1131
"2023 - 2024",DIV,"Frederick County Public Schools",12,1101
"2023 - 2024",DIV,"Fredericksburg City Public Schools",,3587
"2023 - 2024",DIV,"Fredericksburg City Public Schools",PG,9
"2023 - 2024",DIV,"Fredericksburg City Public Schools",PK,138
"2023 - 2024",DIV,"Fredericksburg City Public Schools",KG,267
"2023 - 2024",DIV,"Fredericksburg City Public Schools",01,288
"2023 - 2024",DIV,"Fredericksburg City Public Schools",02,268
"2023 - 2024",DIV,"Fredericksburg City Public Schools",03,266
"2023 - 2024",DIV,"Fredericksburg City Public Schools",04,279
"2023 - 2024",DIV,"Fredericksburg City Public Schools",05,290
"2023 - 2024",DIV,"Fredericksburg City Public Schools",06,266
"2023 - 2024",DIV,"Fredericksburg City Public Schools",07,269
"2023 - 2024",DIV,"Fredericksburg City Public Schools",08,241
"2023 - 2024",DIV,"Fredericksburg City Public Schools",09,273
"2023 - 2024",DIV,"Fredericksburg City Public Schools",10,261
"2023 - 2024",DIV,"Fredericksburg City Public Schools",11,247
"2023 - 2024",DIV,"Fredericksburg City Public Schools",12,225
"2023 - 2024",DIV,"Galax City Public Schools",,1418
"2023 - 2024",DIV,"Galax City Public Schools",PK,74
"2023 - 2024",DIV,"Galax City Public Schools",KG,101
"2023 - 2024",DIV,"Galax City Public Schools",01,80
"2023 - 2024",DIV,"Galax City Public Schools",02,112
"2023 - 2024",DIV,"Galax City Public Schools",03,100
"2023 - 2024",DIV,"Galax City Public Schools",04,108
"2023 - 2024",DIV,"Galax City Public Schools",05,110
"2023 - 2024",DIV,"Galax City Public Schools",06,119
"2023 - 2024",DIV,"Galax City Public Schools",07,102
"2023 - 2024",DIV,"Galax City Public Schools",08,108
"2023 - 2024",DIV,"Galax City Public Schools",09,123
"2023 - 2024",DIV,"Galax City Public Schools",10,98
"2023 - 2024",DIV,"Galax City Public Schools",11,106
"2023 - 2024",DIV,"Galax City Public Schools",12,77
"2023 - 2024",DIV,"Giles County Public Schools",,3499
"2023 - 2024",DIV,"Giles County Public Schools",PK,74
"2023 - 2024",DIV,"Giles County Public Schools",KG,208
"2023 - 2024",DIV,"Giles County Public Schools",01,185
"2023 - 2024",DIV,"Giles County Public Schools",02,226
"2023 - 2024",DIV,"Giles County Public Schools",03,421
"2023 - 2024",DIV,"Giles County Public Schools",04,298
"2023 - 2024",DIV,"Giles County Public Schools",05,373
"2023 - 2024",DIV,"Giles County Public Schools",06,407
"2023 - 2024",DIV,"Giles County Public Schools",07,344
"2023 - 2024",DIV,"Giles County Public Schools",08,282
"2023 - 2024",DIV,"Giles County Public Schools",09,185
"2023 - 2024",DIV,"Giles County Public Schools",10,162
"2023 - 2024",DIV,"Giles County Public Schools",11,159
"2023 - 2024",DIV,"Giles County Public Schools",12,175
"2023 - 2024",DIV,"Gloucester County Public Schools",,5016
"2023 - 2024",DIV,"Gloucester County Public Schools",PK,138
"2023 - 2024",DIV,"Gloucester County Public Schools",KG,346
"2023 - 2024",DIV,"Gloucester County Public Schools",01,371
"2023 - 2024",DIV,"Gloucester County Public Schools",02,350
"2023 - 2024",DIV,"Gloucester County Public Schools",03,355
"2023 - 2024",DIV,"Gloucester County Public Schools",04,382
"2023 - 2024",DIV,"Gloucester County Public Schools",05,368
"2023 - 2024",DIV,"Gloucester County Public Schools",06,403
"2023 - 2024",DIV,"Gloucester County Public Schools",07,382
"2023 - 2024",DIV,"Gloucester County Public Schools",08,372
"2023 - 2024",DIV,"Gloucester County Public Schools",09,423
"2023 - 2024",DIV,"Gloucester County Public Schools",10,408
"2023 - 2024",DIV,"Gloucester County Public Schools",11,375
"2023 - 2024",DIV,"Gloucester County Public Schools",12,343
"2023 - 2024",DIV,"Goochland County Public Schools",,2572
"2023 - 2024",DIV,"Goochland County Public Schools",PK,95
"2023 - 2024",DIV,"Goochland County Public Schools",KG,162
"2023 - 2024",DIV,"Goochland County Public Schools",01,183
"2023 - 2024",DIV,"Goochland County Public Schools",02,165
"2023 - 2024",DIV,"Goochland County Public Schools",03,162
"2023 - 2024",DIV,"Goochland County Public Schools",04,176
"2023 - 2024",DIV,"Goochland County Public Schools",05,183
"2023 - 2024",DIV,"Goochland County Public Schools",06,222
"2023 - 2024",DIV,"Goochland County Public Schools",07,186
"2023 - 2024",DIV,"Goochland County Public Schools",08,191
"2023 - 2024",DIV,"Goochland County Public Schools",09,203
"2023 - 2024",DIV,"Goochland County Public Schools",10,244
"2023 - 2024",DIV,"Goochland County Public Schools",11,188
"2023 - 2024",DIV,"Goochland County Public Schools",12,212
"2023 - 2024",DIV,"Grayson County Public Schools",,1576
"2023 - 2024",DIV,"Grayson County Public Schools",PK,48
"2023 - 2024",DIV,"Grayson County Public Schools",KG,104
"2023 - 2024",DIV,"Grayson County Public Schools",01,109
"2023 - 2024",DIV,"Grayson County Public Schools",02,133
"2023 - 2024",DIV,"Grayson County Public Schools",03,101
"2023 - 2024",DIV,"Grayson County Public Schools",04,128
"2023 - 2024",DIV,"Grayson County Public Schools",05,136
"2023 - 2024",DIV,"Grayson County Public Schools",06,108
"2023 - 2024",DIV,"Grayson County Public Schools",07,124
"2023 - 2024",DIV,"Grayson County Public Schools",08,128
"2023 - 2024",DIV,"Grayson County Public Schools",09,109
"2023 - 2024",DIV,"Grayson County Public Schools",10,113
"2023 - 2024",DIV,"Grayson County Public Schools",11,131
"2023 - 2024",DIV,"Grayson County Public Schools",12,104
"2023 - 2024",DIV,"Greene County Public Schools",,2818
"2023 - 2024",DIV,"Greene County Public Schools",PK,48
"2023 - 2024",DIV,"Greene County Public Schools",KG,187
"2023 - 2024",DIV,"Greene County Public Schools",01,212
"2023 - 2024",DIV,"Greene County Public Schools",02,184
"2023 - 2024",DIV,"Greene County Public Schools",03,194
"2023 - 2024",DIV,"Greene County Public Schools",04,202
"2023 - 2024",DIV,"Greene County Public Schools",05,187
"2023 - 2024",DIV,"Greene County Public Schools",06,206
"2023 - 2024",DIV,"Greene County Public Schools",07,208
"2023 - 2024",DIV,"Greene County Public Schools",08,211
"2023 - 2024",DIV,"Greene County Public Schools",09,269
"2023 - 2024",DIV,"Greene County Public Schools",10,254
"2023 - 2024",DIV,"Greene County Public Schools",11,222
"2023 - 2024",DIV,"Greene County Public Schools",12,234
"2023 - 2024",DIV,"Greensville County Public Schools",,2027
"2023 - 2024",DIV,"Greensville County Public Schools",PK,107
"2023 - 2024",DIV,"Greensville County Public Schools",KG,154
"2023 - 2024",DIV,"Greensville County Public Schools",01,158
"2023 - 2024",DIV,"Greensville County Public Schools",02,150
"2023 - 2024",DIV,"Greensville County Public Schools",03,130
"2023 - 2024",DIV,"Greensville County Public Schools",04,145
"2023 - 2024",DIV,"Greensville County Public Schools",05,144
"2023 - 2024",DIV,"Greensville County Public Schools",06,148
"2023 - 2024",DIV,"Greensville County Public Schools",07,158
"2023 - 2024",DIV,"Greensville County Public Schools",08,131
"2023 - 2024",DIV,"Greensville County Public Schools",09,153
"2023 - 2024",DIV,"Greensville County Public Schools",10,174
"2023 - 2024",DIV,"Greensville County Public Schools",11,148
"2023 - 2024",DIV,"Greensville County Public Schools",12,127
"2023 - 2024",DIV,"Halifax County Public Schools",,4578
"2023 - 2024",DIV,"Halifax County Public Schools",PK,356
"2023 - 2024",DIV,"Halifax County Public Schools",KG,342
"2023 - 2024",DIV,"Halifax County Public Schools",01,351
"2023 - 2024",DIV,"Halifax County Public Schools",02,369
"2023 - 2024",DIV,"Halifax County Public Schools",03,319
"2023 - 2024",DIV,"Halifax County Public Schools",04,300
"2023 - 2024",DIV,"Halifax County Public Schools",05,317
"2023 - 2024",DIV,"Halifax County Public Schools",06,281
"2023 - 2024",DIV,"Halifax County Public Schools",07,275
"2023 - 2024",DIV,"Halifax County Public Schools",08,315
"2023 - 2024",DIV,"Halifax County Public Schools",09,348
"2023 - 2024",DIV,"Halifax County Public Schools",10,345
"2023 - 2024",DIV,"Halifax County Public Schools",11,345
"2023 - 2024",DIV,"Halifax County Public Schools",12,315
"2023 - 2024",DIV,"Hampton City Public Schools",,19661
"2023 - 2024",DIV,"Hampton City Public Schools",PK,686
"2023 - 2024",DIV,"Hampton City Public Schools",KG,1417
"2023 - 2024",DIV,"Hampton City Public Schools",01,1473
"2023 - 2024",DIV,"Hampton City Public Schools",02,1509
"2023 - 2024",DIV,"Hampton City Public Schools",03,1375
"2023 - 2024",DIV,"Hampton City Public Schools",04,1421
"2023 - 2024",DIV,"Hampton City Public Schools",05,1474
"2023 - 2024",DIV,"Hampton City Public Schools",06,1448
"2023 - 2024",DIV,"Hampton City Public Schools",07,1383
"2023 - 2024",DIV,"Hampton City Public Schools",08,1496
"2023 - 2024",DIV,"Hampton City Public Schools",09,1663
"2023 - 2024",DIV,"Hampton City Public Schools",10,1601
"2023 - 2024",DIV,"Hampton City Public Schools",11,1477
"2023 - 2024",DIV,"Hampton City Public Schools",12,1238
"2023 - 2024",DIV,"Hanover County Public Schools",,16820
"2023 - 2024",DIV,"Hanover County Public Schools",PK,276
"2023 - 2024",DIV,"Hanover County Public Schools",KG,1115
"2023 - 2024",DIV,"Hanover County Public Schools",01,1086
"2023 - 2024",DIV,"Hanover County Public Schools",02,1239
"2023 - 2024",DIV,"Hanover County Public Schools",03,1192
"2023 - 2024",DIV,"Hanover County Public Schools",04,1259
"2023 - 2024",DIV,"Hanover County Public Schools",05,1268
"2023 - 2024",DIV,"Hanover County Public Schools",06,1270
"2023 - 2024",DIV,"Hanover County Public Schools",07,1307
"2023 - 2024",DIV,"Hanover County Public Schools",08,1277
"2023 - 2024",DIV,"Hanover County Public Schools",09,1402
"2023 - 2024",DIV,"Hanover County Public Schools",10,1398
"2023 - 2024",DIV,"Hanover County Public Schools",11,1365
"2023 - 2024",DIV,"Hanover County Public Schools",12,1366
"2023 - 2024",DIV,"Harrisonburg City Public Schools",,6791
"2023 - 2024",DIV,"Harrisonburg City Public Schools",PK,329
"2023 - 2024",DIV,"Harrisonburg City Public Schools",KG,488
"2023 - 2024",DIV,"Harrisonburg City Public Schools",01,534
"2023 - 2024",DIV,"Harrisonburg City Public Schools",02,519
"2023 - 2024",DIV,"Harrisonburg City Public Schools",03,523
"2023 - 2024",DIV,"Harrisonburg City Public Schools",04,478
"2023 - 2024",DIV,"Harrisonburg City Public Schools",05,487
"2023 - 2024",DIV,"Harrisonburg City Public Schools",06,510
"2023 - 2024",DIV,"Harrisonburg City Public Schools",07,461
"2023 - 2024",DIV,"Harrisonburg City Public Schools",08,464
"2023 - 2024",DIV,"Harrisonburg City Public Schools",09,557
"2023 - 2024",DIV,"Harrisonburg City Public Schools",10,530
"2023 - 2024",DIV,"Harrisonburg City Public Schools",11,459
"2023 - 2024",DIV,"Harrisonburg City Public Schools",12,452
"2023 - 2024",DIV,"Henrico County Public Schools",,50464
"2023 - 2024",DIV,"Henrico County Public Schools",PK,1234
"2023 - 2024",DIV,"Henrico County Public Schools",KG,3453
"2023 - 2024",DIV,"Henrico County Public Schools",01,3582
"2023 - 2024",DIV,"Henrico County Public Schools",02,3736
"2023 - 2024",DIV,"Henrico County Public Schools",03,3564
"2023 - 2024",DIV,"Henrico County Public Schools",04,3704
"2023 - 2024",DIV,"Henrico County Public Schools",05,3668
"2023 - 2024",DIV,"Henrico County Public Schools",06,3692
"2023 - 2024",DIV,"Henrico County Public Schools",07,3721
"2023 - 2024",DIV,"Henrico County Public Schools",08,3802
"2023 - 2024",DIV,"Henrico County Public Schools",09,4225
"2023 - 2024",DIV,"Henrico County Public Schools",10,4217
"2023 - 2024",DIV,"Henrico County Public Schools",11,3916
"2023 - 2024",DIV,"Henrico County Public Schools",12,3950
"2023 - 2024",DIV,"Henry County Public Schools",,6938
"2023 - 2024",DIV,"Henry County Public Schools",PK,270
"2023 - 2024",DIV,"Henry County Public Schools",KG,430
"2023 - 2024",DIV,"Henry County Public Schools",01,474
"2023 - 2024",DIV,"Henry County Public Schools",02,514
"2023 - 2024",DIV,"Henry County Public Schools",03,471
"2023 - 2024",DIV,"Henry County Public Schools",04,489
"2023 - 2024",DIV,"Henry County Public Schools",05,514
"2023 - 2024",DIV,"Henry County Public Schools",06,518
"2023 - 2024",DIV,"Henry County Public Schools",07,498
"2023 - 2024",DIV,"Henry County Public Schools",08,489
"2023 - 2024",DIV,"Henry County Public Schools",09,712
"2023 - 2024",DIV,"Henry County Public Schools",10,550
"2023 - 2024",DIV,"Henry County Public Schools",11,509
"2023 - 2024",DIV,"Henry County Public Schools",12,500
"2023 - 2024",DIV,"Highland County Public Schools",,212
"2023 - 2024",DIV,"Highland County Public Schools",PK,16
"2023 - 2024",DIV,"Highland County Public Schools",KG,16
"2023 - 2024",DIV,"Highland County Public Schools",01,13
"2023 - 2024",DIV,"Highland County Public Schools",02,18
"2023 - 2024",DIV,"Highland County Public Schools",03,14
"2023 - 2024",DIV,"Highland County Public Schools",04,18
"2023 - 2024",DIV,"Highland County Public Schools",05,17
"2023 - 2024",DIV,"Highland County Public Schools",06,12
"2023 - 2024",DIV,"Highland County Public Schools",07,16
"2023 - 2024",DIV,"Highland County Public Schools",08,17
"2023 - 2024",DIV,"Highland County Public Schools",09,13
"2023 - 2024",DIV,"Highland County Public Schools",10,20
"2023 - 2024",DIV,"Highland County Public Schools",11,14
"2023 - 2024",DIV,"Highland County Public Schools",12,8
"2023 - 2024",DIV,"Hopewell City Public Schools",,3946
"2023 - 2024",DIV,"Hopewell City Public Schools",PK,309
"2023 - 2024",DIV,"Hopewell City Public Schools",KG,256
"2023 - 2024",DIV,"Hopewell City Public Schools",01,266
"2023 - 2024",DIV,"Hopewell City Public Schools",02,288
"2023 - 2024",DIV,"Hopewell City Public Schools",03,288
"2023 - 2024",DIV,"Hopewell City Public Schools",04,283
"2023 - 2024",DIV,"Hopewell City Public Schools",05,290
"2023 - 2024",DIV,"Hopewell City Public Schools",06,271
"2023 - 2024",DIV,"Hopewell City Public Schools",07,283
"2023 - 2024",DIV,"Hopewell City Public Schools",08,264
"2023 - 2024",DIV,"Hopewell City Public Schools",09,301
"2023 - 2024",DIV,"Hopewell City Public Schools",10,288
"2023 - 2024",DIV,"Hopewell City Public Schools",11,292
"2023 - 2024",DIV,"Hopewell City Public Schools",12,267
"2023 - 2024",DIV,"Isle of Wight County Public Schools",,5594
"2023 - 2024",DIV,"Isle of Wight County Public Schools",PK,113
"2023 - 2024",DIV,"Isle of Wight County Public Schools",KG,365
"2023 - 2024",DIV,"Isle of Wight County Public Schools",01,370
"2023 - 2024",DIV,"Isle of Wight County Public Schools",02,442
"2023 - 2024",DIV,"Isle of Wight County Public Schools",03,371
"2023 - 2024",DIV,"Isle of Wight County Public Schools",04,427
"2023 - 2024",DIV,"Isle of Wight County Public Schools",05,413
"2023 - 2024",DIV,"Isle of Wight County Public Schools",06,405
"2023 - 2024",DIV,"Isle of Wight County Public Schools",07,411
"2023 - 2024",DIV,"Isle of Wight County Public Schools",08,435
"2023 - 2024",DIV,"Isle of Wight County Public Schools",09,515
"2023 - 2024",DIV,"Isle of Wight County Public Schools",10,462
"2023 - 2024",DIV,"Isle of Wight County Public Schools",11,450
"2023 - 2024",DIV,"Isle of Wight County Public Schools",12,415
