Enrollment
10/12/2024

Year,Level,Division,Grade,Count
"2023 - 2024",DIV,"Amherst County Public Schools",12,289
"2023 - 2024",DIV,"Appomattox County Public Schools",,2372
"2023 - 2024",DIV,"Appomattox County Public Schools",PK,74
"2023 - 2024",DIV,"Appomattox County Public Schools",KG,172
"2023 - 2024",DIV,"Appomattox County Public Schools",01,182
"2023 - 2024",DIV,"Appomattox County Public Schools",02,181
"2023 - 2024",DIV,"Appomattox County Public Schools",03,162
"2023 - 2024",DIV,"Appomattox County Public Schools",04,187
"2023 - 2024",DIV,"Appomattox County Public Schools",05,184
"2023 - 2024",DIV,"Appomattox County Public Schools",06,175
"2023 - 2024",DIV,"Appomattox County Public Schools",07,163
"2023 - 2024",DIV,"Appomattox County Public Schools",08,174
"2023 - 2024",DIV,"Appomattox County Public Schools",09,215
"2023 - 2024",DIV,"Appomattox County Public Schools",10,181
"2023 - 2024",DIV,"Appomattox County Public Schools",11,158
"2023 - 2024",DIV,"Appomattox County Public Schools",12,164
"2023 - 2024",DIV,"Arlington County Public Schools",,27536
"2023 - 2024",DIV,"Arlington County Public Schools",PK,881
"2023 - 2024",DIV,"Arlington County Public Schools",KG,1973
"2023 - 2024",DIV,"Arlington County Public Schools",01,2056
"2023 - 2024",DIV,"Arlington County Public Schools",02,2176
"2023 - 2024",DIV,"Arlington County Public Schools",03,2142
"2023 - 2024",DIV,"Arlington County Public Schools",04,2067
"2023 - 2024",DIV,"Arlington County Public Schools",05,2085
"2023 - 2024",DIV,"Arlington County Public Schools",06,2015
"2023 - 2024",DIV,"Arlington County Public Schools",07,1923
"2023 - 2024",DIV,"Arlington County Public Schools",08,1946
"2023 - 2024",DIV,"Arlington County Public Schools",09,2041
"2023 - 2024",DIV,"Arlington County Public Schools",10,2106
"2023 - 2024",DIV,"Arlington County Public Schools",11,2083
"2023 - 2024",DIV,"Arlington County Public Schools",12,2042
"2023 - 2024",DIV,"Augusta County Public Schools",,10144
"2023 - 2024",DIV,"Augusta County Public Schools",PK,318
"2023 - 2024",DIV,"Augusta County Public Schools",KG,707
"2023 - 2024",DIV,"Augusta County Public Schools",01,746
"2023 - 2024",DIV,"Augusta County Public Schools",02,731
"2023 - 2024",DIV,"Augusta County Public Schools",03,746
"2023 - 2024",DIV,"Augusta County Public Schools",04,707
"2023 - 2024",DIV,"Augusta County Public Schools",05,721
"2023 - 2024",DIV,"Augusta County Public Schools",06,812
"2023 - 2024",DIV,"Augusta County Public Schools",07,730
"2023 - 2024",DIV,"Augusta County Public Schools",08,746
"2023 - 2024",DIV,"Augusta County Public Schools",09,825
"2023 - 2024",DIV,"Augusta County Public Schools",10,793
"2023 - 2024",DIV,"Augusta County Public Schools",11,789
"2023 - 2024",DIV,"Augusta County Public Schools",12,773
"2023 - 2024",DIV,"Bath County Public Schools",,509
"2023 - 2024",DIV,"Bath County Public Schools",PK,30
"2023 - 2024",DIV,"Bath County Public Schools",KG,42
"2023 - 2024",DIV,"Bath County Public Schools",01,26
"2023 - 2024",DIV,"Bath County Public Schools",02,32
"2023 - 2024",DIV,"Bath County Public Schools",03,37
"2023 - 2024",DIV,"Bath County Public Schools",04,37
"2023 - 2024",DIV,"Bath County Public Schools",05,42
"2023 - 2024",DIV,"Bath County Public Schools",06,35
"2023 - 2024",DIV,"Bath County Public Schools",07,45
"2023 - 2024",DIV,"Bath County Public Schools",08,42
"2023 - 2024",DIV,"Bath County Public Schools",09,36
"2023 - 2024",DIV,"Bath County Public Schools",10,38
"2023 - 2024",DIV,"Bath County Public Schools",11,36
"2023 - 2024",DIV,"Bath County Public Schools",12,31
