Year,GEO_ID,CountyName,StateName,StateCode,CountyCode,TotalEstimate,TotalMargin
2018,0500000US51175,Southampton County,Virginia,51,175,54611,6821
2018,0500000US51091,Highland County,Virginia,51,91,46147,3558
2018,0500000US51033,Caroline County,Virginia,51,33,64715,4314
2018,0500000US51073,Gloucester County,Virginia,51,73,66701,3711
2018,0500000US51141,Patrick County,Virginia,51,141,40486,4326
2018,0500000US51145,Powhatan County,Virginia,51,145,83914,4985
2018,0500000US51171,Shenandoah County,Virginia,51,171,54921,3008
2018,0500000US51061,Fauquier County,Virginia,51,61,97469,3787
2018,0500000US51790,Staunton city,Virginia,51,790,48049,2289
2018,0500000US51065,Fluvanna County,Virginia,51,65,74931,4899
2018,0500000US51007,Amelia County,Virginia,51,7,58526,8627
2018,0500000US51750,Radford city,Virginia,51,750,36743,6295
2018,0500000US51840,Winchester city,Virginia,51,840,53797,4115
2018,0500000US51001,Accomack County,Virginia,51,1,43210,3243
2018,0500000US51045,Craig County,Virginia,51,45,55484,13649
2018,0500000US51063,Floyd County,Virginia,51,63,49729,4731
2018,0500000US51071,Giles County,Virginia,51,71,52478,3169
2018,0500000US51077,Grayson County,Virginia,51,77,33969,2345
2018,0500000US51135,Nottoway County,Virginia,51,135,42869,4498
2018,0500000US51157,Rappahannock County,Virginia,51,157,68438,7363
2018,0500000US51036,Charles City County,Virginia,51,36,59192,4207
2018,0500000US51047,Culpeper County,Virginia,51,47,73116,2713
2018,0500000US51053,Dinwiddie County,Virginia,51,53,55880,4297
2018,0500000US51079,Greene County,Virginia,51,79,64979,4475
2018,0500000US51085,Hanover County,Virginia,51,85,88652,2596
2018,0500000US51111,Lunenburg County,Virginia,51,111,41868,4197
2018,0500000US51137,Orange County,Virginia,51,137,68481,3991
2018,0500000US51595,Emporia city,Virginia,51,595,30857,2784
2018,0500000US51197,Wythe County,Virginia,51,197,48043,2922
2018,0500000US51550,Chesapeake city,Virginia,51,550,75790,1575
2018,0500000US51660,Harrisonburg city,Virginia,51,660,43893,2962
2018,0500000US51003,Albemarle County,Virginia,51,3,75394,2534
2018,0500000US51019,Bedford County,Virginia,51,19,61541,2660
2018,0500000US51029,Buckingham County,Virginia,51,29,46261,4573
2018,0500000US51195,Wise County,Virginia,51,195,38345,3388
2018,0500000US51580,Covington city,Virginia,51,580,39432,3798
2018,0500000US51740,Portsmouth city,Virginia,51,740,50224,1622
2018,0500000US51810,Virginia Beach city,Virginia,51,810,74186,953
2018,0500000US51005,Alleghany County,Virginia,51,5,47794,3629
2018,0500000US51640,Galax city,Virginia,51,640,31938,3916
2018,0500000US51193,Westmoreland County,Virginia,51,193,54268,3000
2018,0500000US51133,Northumberland County,Virginia,51,133,58677,5014
2018,0500000US51155,Pulaski County,Virginia,51,155,52638,1998
2018,0500000US51187,Warren County,Virginia,51,187,68189,4293
2018,0500000US51590,Danville city,Virginia,51,590,36301,2104
2018,0500000US51630,Fredericksburg city,Virginia,51,630,63274,7136
2018,0500000US51009,Amherst County,Virginia,51,9,49170,3347
